filename,group
725.npz,P 1 21/c 1 (No. 14)
726.npz,P 1 21 1 (No. 4)
727.npz,P b c a (No. 61)
728.npz,P 1 21 1 (No. 4)
729.npz,C 1 2/c 1 (No. 15)
730.npz,P -1 (No. 2)
731.npz,C 1 2/c 1 (No. 15)
732.npz,P 1 21 1 (No. 4)
733.npz,P 1 21 1 (No. 4)
734.npz,P -1 (No. 2)
735.npz,P 1 21 1 (No. 4)
736.npz,P b c a (No. 61)
737.npz,P 1 21/c 1 (No. 14)
738.npz,P 21 21 21 (No. 19)
739.npz,P 1 21/c 1 (No. 14)
740.npz,P 1 21 1 (No. 4)
741.npz,P 1 21/c 1 (No. 14)
742.npz,P 1 21 1 (No. 4)
743.npz,P 21 21 21 (No. 19)
744.npz,P -1 (No. 2)
745.npz,P 21 21 21 (No. 19)
746.npz,P -1 (No. 2)
747.npz,P 21 21 21 (No. 19)
748.npz,P -1 (No. 2)
749.npz,P 21 21 21 (No. 19)
750.npz,C 1 2/c 1 (No. 15)
751.npz,P -1 (No. 2)
752.npz,P 21 21 21 (No. 19)
753.npz,P b c a (No. 61)
754.npz,P -1 (No. 2)
755.npz,P b c a (No. 61)
756.npz,P -1 (No. 2)
757.npz,P 1 21 1 (No. 4)
758.npz,P 21 21 21 (No. 19)
759.npz,P 1 21 1 (No. 4)
760.npz,P 21 21 21 (No. 19)
761.npz,C 1 2/c 1 (No. 15)
762.npz,P -1 (No. 2)
763.npz,P 1 21/c 1 (No. 14)
764.npz,P b c a (No. 61)
765.npz,P 1 21 1 (No. 4)
766.npz,P 21 21 21 (No. 19)
767.npz,P -1 (No. 2)
768.npz,P b c a (No. 61)
769.npz,P b c a (No. 61)
770.npz,P 1 21 1 (No. 4)
771.npz,P 21 21 21 (No. 19)
772.npz,P 1 21/c 1 (No. 14)
773.npz,P 21 21 21 (No. 19)
774.npz,P 1 21 1 (No. 4)
775.npz,P 1 21 1 (No. 4)
776.npz,P b c a (No. 61)
777.npz,P 1 21/c 1 (No. 14)
778.npz,P b c a (No. 61)
779.npz,P 1 21 1 (No. 4)
780.npz,P -1 (No. 2)
781.npz,P -1 (No. 2)
782.npz,P 1 21 1 (No. 4)
783.npz,P 1 21/c 1 (No. 14)
784.npz,P -1 (No. 2)
785.npz,P 1 21 1 (No. 4)
786.npz,P 1 21/c 1 (No. 14)
787.npz,P -1 (No. 2)
788.npz,P -1 (No. 2)
789.npz,C 1 2/c 1 (No. 15)
790.npz,P 1 21/c 1 (No. 14)
791.npz,P 21 21 21 (No. 19)
792.npz,P 1 21/c 1 (No. 14)
793.npz,P b c a (No. 61)
794.npz,P 1 21/c 1 (No. 14)
795.npz,P -1 (No. 2)
796.npz,C 1 2/c 1 (No. 15)
797.npz,P -1 (No. 2)
798.npz,P 21 21 21 (No. 19)
799.npz,C 1 2/c 1 (No. 15)
